environment,checkpoint,method,trials,mean_episode_return,return_ci95_half_width,goal_reaching_rate,fallback_action_percentage
pendulum,Low,fallback,100,-373.282558083171,52.713386914505165,100.0,100.0
pendulum,Low,conservative,100,-372.16542383634487,52.80306733770866,100.0,99.485
pendulum,Low,guarded,100,-375.6853037645761,48.24560157180623,100.0,90.405
pendulum,Low,moderate,100,-526.5030227627699,32.973468091718324,99.0,69.905
pendulum,Low,balanced,100,-674.5814109768812,38.24869223408273,72.0,55.545
pendulum,Low,high,100,-889.2538195004407,34.05876249586824,12.0,32.325
pendulum,Low,almost_open,100,-1050.6731027188246,31.78083141899213,2.0,6.665
pendulum,Low,base,100,-1096.2044830322266,12.017183241899916,0.0,0.0
pendulum,Low,lagrangian,100,-1147.6464203135163,28.273760282323394,0.0,0.0
pendulum,Mid,fallback,100,-373.282558083171,52.713386914505165,100.0,100.0
pendulum,Mid,conservative,100,-254.2840695745591,28.940373594149474,100.0,91.95
pendulum,Mid,guarded,100,-257.71777808093464,22.5383362068421,100.0,85.14
pendulum,Mid,moderate,100,-387.24837378644384,25.890702975778275,99.0,68.83
pendulum,Mid,balanced,100,-481.7607389035169,28.95897709957049,94.0,56.065
pendulum,Mid,high,100,-592.4420988430921,28.242515564153518,44.0,34.5
pendulum,Mid,almost_open,100,-674.3368628659192,25.418026050378245,3.0,7.32
pendulum,Mid,base,100,-703.0475134277344,12.814223794995105,0.0,0.0
pendulum,Mid,lagrangian,100,-360.20778218171387,57.32689155569119,70.0,0.0
pendulum,High,fallback,100,-373.282558083171,52.713386914505165,100.0,100.0
pendulum,High,conservative,100,-214.9141134878341,22.604763719046062,100.0,88.34
pendulum,High,guarded,100,-203.0961290596146,24.55995231181941,100.0,84.72
pendulum,High,moderate,100,-215.48925373000094,28.042171124387192,100.0,76.775
pendulum,High,balanced,100,-219.52796719950624,30.413111673548535,100.0,73.47
pendulum,High,high,100,-274.32502201032827,47.65361501271171,92.0,66.735
pendulum,High,almost_open,100,-305.7373143343348,58.92985395555628,84.0,59.6
pendulum,High,base,100,-341.0491300097853,68.15578935849456,77.0,0.0
pendulum,High,lagrangian,100,-273.7713283180437,39.57860822096693,100.0,0.0
cartpole,Low,fallback,100,-762.5787818908691,128.49339571376692,100.0,100.0
cartpole,Low,conservative,100,-752.7033065414429,118.38162397568172,100.0,90.801
cartpole,Low,guarded,100,-614.135200843811,93.32797936313634,100.0,82.965
cartpole,Low,moderate,100,-845.7631497955322,131.6853411321477,100.0,71.212
cartpole,Low,balanced,100,-784.911759223938,130.06041725016468,96.0,64.90899999999999
cartpole,Low,high,100,-719.5246341705322,100.5310260485553,77.0,56.153
