environment,algorithm,mode,method,sequence,pair_index,calls,elapsed_ns,latency_us_per_call
Pendulum-v1,PPO,almost_open,native_logic,0,0,1000,13906,0.013906
Pendulum-v1,PPO,almost_open,critic,1,0,1000,69551589,69.551589
Pendulum-v1,PPO,almost_open,wrapped,2,0,1000,90613431,90.61343099999999
Pendulum-v1,PPO,almost_open,base,3,0,1000,77282455,77.282455
Pendulum-v1,PPO,almost_open,critic,4,1,1000,65088436,65.088436
Pendulum-v1,PPO,almost_open,wrapped,5,1,1000,94548276,94.548276
Pendulum-v1,PPO,almost_open,native_logic,6,1,1000,13476,0.013476
Pendulum-v1,PPO,almost_open,base,7,1,1000,76000439,76.000439
Pendulum-v1,PPO,almost_open,native_logic,8,2,1000,14197,0.014197
Pendulum-v1,PPO,almost_open,base,9,2,1000,78938613,78.938613
Pendulum-v1,PPO,almost_open,critic,10,2,1000,69305129,69.305129
Pendulum-v1,PPO,almost_open,wrapped,11,2,1000,104742250,104.74225
Pendulum-v1,PPO,almost_open,wrapped,12,3,1000,99815784,99.815784
Pendulum-v1,PPO,almost_open,native_logic,13,3,1000,13165,0.013165
Pendulum-v1,PPO,almost_open,critic,14,3,1000,70513815,70.51381500000001
Pendulum-v1,PPO,almost_open,base,15,3,1000,78238398,78.238398
Pendulum-v1,PPO,almost_open,base,16,4,1000,73974425,73.974425
Pendulum-v1,PPO,almost_open,critic,17,4,1000,68922389,68.922389
Pendulum-v1,PPO,almost_open,native_logic,18,4,1000,14698,0.014698000000000001
Pendulum-v1,PPO,almost_open,wrapped,19,4,1000,101835326,101.835326
Pendulum-v1,PPO,almost_open,base,20,5,1000,81986517,81.986517
Pendulum-v1,PPO,almost_open,critic,21,5,1000,71928242,71.928242
Pendulum-v1,PPO,almost_open,native_logic,22,5,1000,15379,0.015379
Pendulum-v1,PPO,almost_open,wrapped,23,5,1000,94939953,94.93995299999999
Pendulum-v1,PPO,almost_open,base,24,6,1000,75497069,75.497069
Pendulum-v1,PPO,almost_open,critic,25,6,1000,64781220,64.78122
Pendulum-v1,PPO,almost_open,wrapped,26,6,1000,94985891,94.98589100000001
Pendulum-v1,PPO,almost_open,native_logic,27,6,1000,12875,0.012875
Pendulum-v1,PPO,almost_open,native_logic,28,7,1000,11201,0.011201000000000001
Pendulum-v1,PPO,almost_open,wrapped,29,7,1000,97389065,97.389065
Pendulum-v1,PPO,almost_open,critic,30,7,1000,63822521,63.822521
Pendulum-v1,PPO,almost_open,base,31,7,1000,69485193,69.485193
Pendulum-v1,PPO,almost_open,wrapped,32,8,1000,100610539,100.610539
Pendulum-v1,PPO,almost_open,base,33,8,1000,79734230,79.73423
Pendulum-v1,PPO,almost_open,critic,34,8,1000,68282097,68.282097
