environment,algorithm,mode,method,sequence,pair_index,calls,elapsed_ns,latency_us_per_call
Pendulum-v1,PPO,balanced,native_logic,0,0,1000,22182,0.022182
Pendulum-v1,PPO,balanced,critic,1,0,1000,66266503,66.266503
Pendulum-v1,PPO,balanced,wrapped,2,0,1000,90856275,90.856275
Pendulum-v1,PPO,balanced,base,3,0,1000,72664236,72.664236
Pendulum-v1,PPO,balanced,critic,4,1,1000,63191879,63.191879
Pendulum-v1,PPO,balanced,wrapped,5,1,1000,86979170,86.97917
Pendulum-v1,PPO,balanced,native_logic,6,1,1000,13986,0.013986
Pendulum-v1,PPO,balanced,base,7,1,1000,73293607,73.29360700000001
Pendulum-v1,PPO,balanced,native_logic,8,2,1000,14498,0.014497999999999999
Pendulum-v1,PPO,balanced,base,9,2,1000,72321673,72.32167299999999
Pendulum-v1,PPO,balanced,critic,10,2,1000,64564617,64.564617
Pendulum-v1,PPO,balanced,wrapped,11,2,1000,85248559,85.248559
Pendulum-v1,PPO,balanced,wrapped,12,3,1000,90150729,90.15072900000001
Pendulum-v1,PPO,balanced,native_logic,13,3,1000,14337,0.014336999999999999
Pendulum-v1,PPO,balanced,critic,14,3,1000,64837317,64.837317
Pendulum-v1,PPO,balanced,base,15,3,1000,73437150,73.43714999999999
Pendulum-v1,PPO,balanced,base,16,4,1000,72926496,72.926496
Pendulum-v1,PPO,balanced,critic,17,4,1000,67149087,67.149087
Pendulum-v1,PPO,balanced,native_logic,18,4,1000,14598,0.014598000000000002
Pendulum-v1,PPO,balanced,wrapped,19,4,1000,86932180,86.93217999999999
Pendulum-v1,PPO,balanced,base,20,5,1000,74547759,74.547759
Pendulum-v1,PPO,balanced,critic,21,5,1000,64784718,64.784718
Pendulum-v1,PPO,balanced,native_logic,22,5,1000,13345,0.013345000000000001
Pendulum-v1,PPO,balanced,wrapped,23,5,1000,84574242,84.574242
Pendulum-v1,PPO,balanced,base,24,6,1000,71891432,71.891432
Pendulum-v1,PPO,balanced,critic,25,6,1000,67930728,67.930728
Pendulum-v1,PPO,balanced,wrapped,26,6,1000,87484283,87.48428299999999
Pendulum-v1,PPO,balanced,native_logic,27,6,1000,13876,0.013876
Pendulum-v1,PPO,balanced,native_logic,28,7,1000,11932,0.011932
Pendulum-v1,PPO,balanced,wrapped,29,7,1000,84657562,84.657562
Pendulum-v1,PPO,balanced,critic,30,7,1000,64294442,64.294442
Pendulum-v1,PPO,balanced,base,31,7,1000,74354170,74.35417
Pendulum-v1,PPO,balanced,wrapped,32,8,1000,82119882,82.119882
Pendulum-v1,PPO,balanced,base,33,8,1000,67198251,67.198251
Pendulum-v1,PPO,balanced,critic,34,8,1000,60669568,60.669568
Pendulum-v1,PPO,balanced,native_logic,35,8,1000,14348,0.014348000000000001
Pendulum-v1,PPO,balanced,wrapped,36,9,1000,82157303,82.157303
Pendulum-v1,PPO,balanced,critic,37,9,1000,65190671,65.19067100000001
Pendulum-v1,PPO,balanced,base,38,9,1000,66991917,66.991917
Pendulum-v1,PPO,balanced,native_logic,39,9,1000,13646,0.013646
Pendulum-v1,PPO,balanced,critic,40,10,1000,62381624,62.381624
Pendulum-v1,PPO,balanced,wrapped,41,10,1000,92209445,92.209445
Pendulum-v1,PPO,balanced,base,42,10,1000,72570677,72.57067699999999
Pendulum-v1,PPO,balanced,native_logic,43,10,1000,14197,0.014197
Pendulum-v1,PPO,balanced,base,44,11,1000,72212254,72.212254
Pendulum-v1,PPO,balanced,critic,45,11,1000,66230525,66.230525
Pendulum-v1,PPO,balanced,wrapped,46,11,1000,85409376,85.40937600000001
Pendulum-v1,PPO,balanced,native_logic,47,11,1000,13245,0.013245
Pendulum-v1,PPO,balanced,critic,48,12,1000,66806714,66.80671400000001
Pendulum-v1,PPO,balanced,base,49,12,1000,71862708,71.862708
Pendulum-v1,PPO,balanced,wrapped,50,12,1000,84434406,84.434406
Pendulum-v1,PPO,balanced,native_logic,51,12,1000,12925,0.012925
Pendulum-v1,PPO,balanced,base,52,13,1000,74803366,74.803366
Pendulum-v1,PPO,balanced,native_logic,53,13,1000,13206,0.013205999999999999
Pendulum-v1,PPO,balanced,critic,54,13,1000,64895358,64.895358
Pendulum-v1,PPO,balanced,wrapped,55,13,1000,87404611,87.404611
Pendulum-v1,PPO,balanced,native_logic,56,14,1000,13776,0.013776
Pendulum-v1,PPO,balanced,wrapped,57,14,1000,86957108,86.95710799999999
Pendulum-v1,PPO,balanced,critic,58,14,1000,64498170,64.49817
Pendulum-v1,PPO,balanced,base,59,14,1000,74623513,74.623513
Pendulum-v1,PPO,balanced,native_logic,60,15,1000,13115,0.013115
Pendulum-v1,PPO,balanced,base,61,15,1000,71940656,71.940656
Pendulum-v1,PPO,balanced,critic,62,15,1000,67247405,67.247405
Pendulum-v1,PPO,balanced,wrapped,63,15,1000,87230389,87.230389
Pendulum-v1,PPO,balanced,base,64,16,1000,71810759,71.810759
Pendulum-v1,PPO,balanced,wrapped,65,16,1000,87126341,87.126341
Pendulum-v1,PPO,balanced,critic,66,16,1000,62118843,62.118843
Pendulum-v1,PPO,balanced,native_logic,67,16,1000,13125,0.013125
Pendulum-v1,PPO,balanced,native_logic,68,17,1000,11813,0.011813
Pendulum-v1,PPO,balanced,base,69,17,1000,69632524,69.632524
Pendulum-v1,PPO,balanced,critic,70,17,1000,61087415,61.087415
Pendulum-v1,PPO,balanced,wrapped,71,17,1000,82692254,82.692254
Pendulum-v1,PPO,balanced,native_logic,72,18,1000,13646,0.013646
Pendulum-v1,PPO,balanced,wrapped,73,18,1000,83062069,83.06206900000001
Pendulum-v1,PPO,balanced,base,74,18,1000,69740380,69.74038
Pendulum-v1,PPO,balanced,critic,75,18,1000,62852412,62.852411999999994
Pendulum-v1,PPO,balanced,native_logic,76,19,1000,14027,0.014027
Pendulum-v1,PPO,balanced,base,77,19,1000,69188717,69.18871700000001
Pendulum-v1,PPO,balanced,critic,78,19,1000,67824134,67.824134
Pendulum-v1,PPO,balanced,wrapped,79,19,1000,87390745,87.390745
Pendulum-v1,PPO,balanced,wrapped,80,20,1000,91500554,91.50055400000001
Pendulum-v1,PPO,balanced,base,81,20,1000,77526861,77.52686100000001
Pendulum-v1,PPO,balanced,native_logic,82,20,1000,15119,0.015119
Pendulum-v1,PPO,balanced,critic,83,20,1000,65997099,65.997099
Pendulum-v1,PPO,balanced,wrapped,84,21,1000,85765174,85.765174
Pendulum-v1,PPO,balanced,native_logic,85,21,1000,14167,0.014166999999999999
Pendulum-v1,PPO,balanced,critic,86,21,1000,63976887,63.976887000000005
Pendulum-v1,PPO,balanced,base,87,21,1000,74486151,74.48615099999999
Pendulum-v1,PPO,balanced,critic,88,22,1000,61128954,61.128954
Pendulum-v1,PPO,balanced,native_logic,89,22,1000,13245,0.013245
