environment,algorithm,mode,method,sequence,pair_index,calls,elapsed_ns,latency_us_per_call
Pendulum-v1,PPO,conservative,native_logic,0,0,1000,14557,0.014557
Pendulum-v1,PPO,conservative,critic,1,0,1000,61049803,61.049803
Pendulum-v1,PPO,conservative,wrapped,2,0,1000,67999930,67.99992999999999
Pendulum-v1,PPO,conservative,base,3,0,1000,71756455,71.756455
Pendulum-v1,PPO,conservative,critic,4,1,1000,60460831,60.460831
Pendulum-v1,PPO,conservative,wrapped,5,1,1000,70030233,70.030233
Pendulum-v1,PPO,conservative,native_logic,6,1,1000,12374,0.012374000000000001
Pendulum-v1,PPO,conservative,base,7,1,1000,68957266,68.957266
Pendulum-v1,PPO,conservative,native_logic,8,2,1000,12314,0.012314
Pendulum-v1,PPO,conservative,base,9,2,1000,73449164,73.44916400000001
Pendulum-v1,PPO,conservative,critic,10,2,1000,63142966,63.142966
Pendulum-v1,PPO,conservative,wrapped,11,2,1000,70010224,70.01022400000001
Pendulum-v1,PPO,conservative,wrapped,12,3,1000,67456754,67.456754
Pendulum-v1,PPO,conservative,native_logic,13,3,1000,12103,0.012103
Pendulum-v1,PPO,conservative,critic,14,3,1000,65738316,65.73831600000001
Pendulum-v1,PPO,conservative,base,15,3,1000,69073538,69.073538
Pendulum-v1,PPO,conservative,base,16,4,1000,75580769,75.580769
Pendulum-v1,PPO,conservative,critic,17,4,1000,66182814,66.182814
Pendulum-v1,PPO,conservative,native_logic,18,4,1000,13456,0.013456
Pendulum-v1,PPO,conservative,wrapped,19,4,1000,73717326,73.717326
Pendulum-v1,PPO,conservative,base,20,5,1000,76683573,76.68357300000001
Pendulum-v1,PPO,conservative,critic,21,5,1000,62094656,62.094656
Pendulum-v1,PPO,conservative,native_logic,22,5,1000,13887,0.013887
Pendulum-v1,PPO,conservative,wrapped,23,5,1000,70688378,70.688378
Pendulum-v1,PPO,conservative,base,24,6,1000,68670700,68.6707
Pendulum-v1,PPO,conservative,critic,25,6,1000,60993717,60.993717
Pendulum-v1,PPO,conservative,wrapped,26,6,1000,65232912,65.232912
Pendulum-v1,PPO,conservative,native_logic,27,6,1000,13566,0.013566
Pendulum-v1,PPO,conservative,native_logic,28,7,1000,11912,0.011912
Pendulum-v1,PPO,conservative,wrapped,29,7,1000,67905571,67.905571
Pendulum-v1,PPO,conservative,critic,30,7,1000,58183327,58.183327
Pendulum-v1,PPO,conservative,base,31,7,1000,69052778,69.052778
Pendulum-v1,PPO,conservative,wrapped,32,8,1000,65095260,65.09526
Pendulum-v1,PPO,conservative,base,33,8,1000,68961084,68.961084
Pendulum-v1,PPO,conservative,critic,34,8,1000,58313405,58.313404999999996
Pendulum-v1,PPO,conservative,native_logic,35,8,1000,12444,0.012444
Pendulum-v1,PPO,conservative,wrapped,36,9,1000,67783798,67.78379799999999
Pendulum-v1,PPO,conservative,critic,37,9,1000,58109265,58.109265
Pendulum-v1,PPO,conservative,base,38,9,1000,69592107,69.592107
Pendulum-v1,PPO,conservative,native_logic,39,9,1000,13826,0.013826
Pendulum-v1,PPO,conservative,critic,40,10,1000,58403626,58.403625999999996
Pendulum-v1,PPO,conservative,wrapped,41,10,1000,70508204,70.50820399999999
Pendulum-v1,PPO,conservative,base,42,10,1000,73145645,73.145645
Pendulum-v1,PPO,conservative,native_logic,43,10,1000,12484,0.012484
Pendulum-v1,PPO,conservative,base,44,11,1000,71711519,71.711519
Pendulum-v1,PPO,conservative,critic,45,11,1000,60694105,60.694105
Pendulum-v1,PPO,conservative,wrapped,46,11,1000,70442899,70.44289900000001
Pendulum-v1,PPO,conservative,native_logic,47,11,1000,12283,0.012282999999999999
Pendulum-v1,PPO,conservative,critic,48,12,1000,60840595,60.840595
Pendulum-v1,PPO,conservative,base,49,12,1000,73798099,73.79809900000001
Pendulum-v1,PPO,conservative,wrapped,50,12,1000,67529884,67.52988400000001
Pendulum-v1,PPO,conservative,native_logic,51,12,1000,12123,0.012123
Pendulum-v1,PPO,conservative,base,52,13,1000,71872316,71.87231600000001
Pendulum-v1,PPO,conservative,native_logic,53,13,1000,12243,0.012243
Pendulum-v1,PPO,conservative,critic,54,13,1000,63315615,63.315615
Pendulum-v1,PPO,conservative,wrapped,55,13,1000,72639960,72.63996
Pendulum-v1,PPO,conservative,native_logic,56,14,1000,12093,0.012093
Pendulum-v1,PPO,conservative,wrapped,57,14,1000,72117183,72.11718300000001
Pendulum-v1,PPO,conservative,critic,58,14,1000,61595445,61.595445
Pendulum-v1,PPO,conservative,base,59,14,1000,68813292,68.813292
Pendulum-v1,PPO,conservative,native_logic,60,15,1000,12143,0.012143000000000001
Pendulum-v1,PPO,conservative,base,61,15,1000,70113893,70.11389299999999
Pendulum-v1,PPO,conservative,critic,62,15,1000,65029695,65.029695
Pendulum-v1,PPO,conservative,wrapped,63,15,1000,69639748,69.63974800000001
Pendulum-v1,PPO,conservative,base,64,16,1000,69688400,69.68839999999999
Pendulum-v1,PPO,conservative,wrapped,65,16,1000,65012031,65.01203100000001
Pendulum-v1,PPO,conservative,critic,66,16,1000,63025292,63.025292
Pendulum-v1,PPO,conservative,native_logic,67,16,1000,14848,0.014848
Pendulum-v1,PPO,conservative,native_logic,68,17,1000,14087,0.014087
Pendulum-v1,PPO,conservative,base,69,17,1000,67667967,67.667967
Pendulum-v1,PPO,conservative,critic,70,17,1000,60540482,60.540482000000004
Pendulum-v1,PPO,conservative,wrapped,71,17,1000,65563333,65.563333
Pendulum-v1,PPO,conservative,native_logic,72,18,1000,18766,0.018765999999999998
