environment,algorithm,mode,method,sequence,pair_index,calls,elapsed_ns,latency_us_per_call
Pendulum-v1,PPO,guarded,native_logic,0,0,1000,14117,0.014117000000000001
Pendulum-v1,PPO,guarded,critic,1,0,1000,66358018,66.358018
Pendulum-v1,PPO,guarded,wrapped,2,0,1000,74774281,74.774281
Pendulum-v1,PPO,guarded,base,3,0,1000,69266486,69.266486
Pendulum-v1,PPO,guarded,critic,4,1,1000,58777650,58.77765
Pendulum-v1,PPO,guarded,wrapped,5,1,1000,72056377,72.056377
Pendulum-v1,PPO,guarded,native_logic,6,1,1000,13436,0.013436
Pendulum-v1,PPO,guarded,base,7,1,1000,66950699,66.950699
Pendulum-v1,PPO,guarded,native_logic,8,2,1000,13476,0.013476
Pendulum-v1,PPO,guarded,base,9,2,1000,69880367,69.88036699999999
Pendulum-v1,PPO,guarded,critic,10,2,1000,60070456,60.070456
Pendulum-v1,PPO,guarded,wrapped,11,2,1000,74873361,74.873361
Pendulum-v1,PPO,guarded,wrapped,12,3,1000,75491790,75.49179
Pendulum-v1,PPO,guarded,native_logic,13,3,1000,13316,0.013316000000000001
Pendulum-v1,PPO,guarded,critic,14,3,1000,66929508,66.929508
Pendulum-v1,PPO,guarded,base,15,3,1000,71963860,71.96386
Pendulum-v1,PPO,guarded,base,16,4,1000,77284619,77.284619
Pendulum-v1,PPO,guarded,critic,17,4,1000,68288891,68.288891
Pendulum-v1,PPO,guarded,native_logic,18,4,1000,14838,0.014837999999999999
Pendulum-v1,PPO,guarded,wrapped,19,4,1000,74141574,74.14157399999999
Pendulum-v1,PPO,guarded,base,20,5,1000,72609532,72.609532
Pendulum-v1,PPO,guarded,critic,21,5,1000,66407352,66.407352
Pendulum-v1,PPO,guarded,native_logic,22,5,1000,14648,0.014648
Pendulum-v1,PPO,guarded,wrapped,23,5,1000,74255742,74.255742
Pendulum-v1,PPO,guarded,base,24,6,1000,73449945,73.44994500000001
Pendulum-v1,PPO,guarded,critic,25,6,1000,67647748,67.647748
Pendulum-v1,PPO,guarded,wrapped,26,6,1000,75883728,75.883728
Pendulum-v1,PPO,guarded,native_logic,27,6,1000,13977,0.013977
Pendulum-v1,PPO,guarded,native_logic,28,7,1000,12093,0.012093
Pendulum-v1,PPO,guarded,wrapped,29,7,1000,75821839,75.82183900000001
Pendulum-v1,PPO,guarded,critic,30,7,1000,73721393,73.72139299999999
Pendulum-v1,PPO,guarded,base,31,7,1000,70089145,70.089145
