environment,algorithm,mode,method,sequence,pair_index,calls,elapsed_ns,latency_us_per_call
Pendulum-v1,PPO,high,native_logic,0,0,1000,14678,0.014678
Pendulum-v1,PPO,high,critic,1,0,1000,68542955,68.542955
Pendulum-v1,PPO,high,wrapped,2,0,1000,94288952,94.28895200000001
Pendulum-v1,PPO,high,base,3,0,1000,75276579,75.276579
Pendulum-v1,PPO,high,critic,4,1,1000,65008503,65.00850299999999
Pendulum-v1,PPO,high,wrapped,5,1,1000,94981102,94.98110199999999
Pendulum-v1,PPO,high,native_logic,6,1,1000,14217,0.014217
Pendulum-v1,PPO,high,base,7,1,1000,74443519,74.443519
Pendulum-v1,PPO,high,native_logic,8,2,1000,13646,0.013646
Pendulum-v1,PPO,high,base,9,2,1000,76303568,76.303568
Pendulum-v1,PPO,high,critic,10,2,1000,65105930,65.10593
Pendulum-v1,PPO,high,wrapped,11,2,1000,93103811,93.10381100000001
Pendulum-v1,PPO,high,wrapped,12,3,1000,93617040,93.61703999999999
Pendulum-v1,PPO,high,native_logic,13,3,1000,13516,0.013516
Pendulum-v1,PPO,high,critic,14,3,1000,66329263,66.32926300000001
Pendulum-v1,PPO,high,base,15,3,1000,74586072,74.586072
Pendulum-v1,PPO,high,base,16,4,1000,78833764,78.833764
Pendulum-v1,PPO,high,critic,17,4,1000,64848348,64.848348
Pendulum-v1,PPO,high,native_logic,18,4,1000,14107,0.014107
Pendulum-v1,PPO,high,wrapped,19,4,1000,93922604,93.922604
Pendulum-v1,PPO,high,base,20,5,1000,77310008,77.310008
Pendulum-v1,PPO,high,critic,21,5,1000,61178860,61.17886
Pendulum-v1,PPO,high,native_logic,22,5,1000,13376,0.013375999999999999
Pendulum-v1,PPO,high,wrapped,23,5,1000,90049235,90.049235
Pendulum-v1,PPO,high,base,24,6,1000,75426144,75.426144
Pendulum-v1,PPO,high,critic,25,6,1000,63321726,63.321726000000005
Pendulum-v1,PPO,high,wrapped,26,6,1000,89306449,89.30644899999999
Pendulum-v1,PPO,high,native_logic,27,6,1000,14017,0.014017
Pendulum-v1,PPO,high,native_logic,28,7,1000,11843,0.011843
Pendulum-v1,PPO,high,wrapped,29,7,1000,91970079,91.970079
Pendulum-v1,PPO,high,critic,30,7,1000,67156090,67.15608999999999
Pendulum-v1,PPO,high,base,31,7,1000,82492191,82.492191
Pendulum-v1,PPO,high,wrapped,32,8,1000,90895019,90.895019
Pendulum-v1,PPO,high,base,33,8,1000,82549862,82.54986199999999
Pendulum-v1,PPO,high,critic,34,8,1000,66898389,66.898389
Pendulum-v1,PPO,high,native_logic,35,8,1000,13737,0.013737000000000001
Pendulum-v1,PPO,high,wrapped,36,9,1000,90579466,90.579466
Pendulum-v1,PPO,high,critic,37,9,1000,68348885,68.348885
Pendulum-v1,PPO,high,base,38,9,1000,75956445,75.956445
Pendulum-v1,PPO,high,native_logic,39,9,1000,14147,0.014147
Pendulum-v1,PPO,high,critic,40,10,1000,70580562,70.580562
Pendulum-v1,PPO,high,wrapped,41,10,1000,100795693,100.795693
