environment,algorithm,mode,method,sequence,pair_index,calls,elapsed_ns,latency_us_per_call
Pendulum-v1,PPO,moderate,native_logic,0,0,1000,14067,0.014067
Pendulum-v1,PPO,moderate,critic,1,0,1000,62522873,62.522873
Pendulum-v1,PPO,moderate,wrapped,2,0,1000,81728044,81.728044
Pendulum-v1,PPO,moderate,base,3,0,1000,70560062,70.560062
Pendulum-v1,PPO,moderate,critic,4,1,1000,60237724,60.237724
Pendulum-v1,PPO,moderate,wrapped,5,1,1000,79948640,79.94864
Pendulum-v1,PPO,moderate,native_logic,6,1,1000,13185,0.013185
Pendulum-v1,PPO,moderate,base,7,1,1000,68716156,68.716156
Pendulum-v1,PPO,moderate,native_logic,8,2,1000,13035,0.013035
Pendulum-v1,PPO,moderate,base,9,2,1000,70932494,70.932494
Pendulum-v1,PPO,moderate,critic,10,2,1000,60295244,60.295244
Pendulum-v1,PPO,moderate,wrapped,11,2,1000,81800673,81.80067299999999
Pendulum-v1,PPO,moderate,wrapped,12,3,1000,77028300,77.0283
Pendulum-v1,PPO,moderate,native_logic,13,3,1000,13806,0.013805999999999999
Pendulum-v1,PPO,moderate,critic,14,3,1000,62474251,62.474250999999995
Pendulum-v1,PPO,moderate,base,15,3,1000,68621616,68.62161599999999
Pendulum-v1,PPO,moderate,base,16,4,1000,86853861,86.85386100000001
Pendulum-v1,PPO,moderate,critic,17,4,1000,72322544,72.322544
Pendulum-v1,PPO,moderate,native_logic,18,4,1000,15179,0.015179
Pendulum-v1,PPO,moderate,wrapped,19,4,1000,88406623,88.40662300000001
Pendulum-v1,PPO,moderate,base,20,5,1000,74567266,74.567266
Pendulum-v1,PPO,moderate,critic,21,5,1000,63936880,63.936879999999995
Pendulum-v1,PPO,moderate,native_logic,22,5,1000,15229,0.015229
Pendulum-v1,PPO,moderate,wrapped,23,5,1000,84507045,84.507045
Pendulum-v1,PPO,moderate,base,24,6,1000,79730985,79.730985
Pendulum-v1,PPO,moderate,critic,25,6,1000,67645113,67.645113
Pendulum-v1,PPO,moderate,wrapped,26,6,1000,85552369,85.55236900000001
Pendulum-v1,PPO,moderate,native_logic,27,6,1000,14809,0.014809
Pendulum-v1,PPO,moderate,native_logic,28,7,1000,12403,0.012403
Pendulum-v1,PPO,moderate,wrapped,29,7,1000,85004734,85.004734
Pendulum-v1,PPO,moderate,critic,30,7,1000,65949810,65.94981
Pendulum-v1,PPO,moderate,base,31,7,1000,77343631,77.34363099999999
Pendulum-v1,PPO,moderate,wrapped,32,8,1000,82430804,82.43080400000001
Pendulum-v1,PPO,moderate,base,33,8,1000,75775050,75.77505000000001
Pendulum-v1,PPO,moderate,critic,34,8,1000,64792081,64.792081
Pendulum-v1,PPO,moderate,native_logic,35,8,1000,14818,0.014818
Pendulum-v1,PPO,moderate,wrapped,36,9,1000,85338601,85.338601
Pendulum-v1,PPO,moderate,critic,37,9,1000,67547056,67.547056
Pendulum-v1,PPO,moderate,base,38,9,1000,70780403,70.780403
Pendulum-v1,PPO,moderate,native_logic,39,9,1000,15059,0.015059
Pendulum-v1,PPO,moderate,critic,40,10,1000,68044255,68.044255
Pendulum-v1,PPO,moderate,wrapped,41,10,1000,82435884,82.435884
Pendulum-v1,PPO,moderate,base,42,10,1000,73473049,73.473049
Pendulum-v1,PPO,moderate,native_logic,43,10,1000,15048,0.015048
Pendulum-v1,PPO,moderate,base,44,11,1000,72084791,72.084791
Pendulum-v1,PPO,moderate,critic,45,11,1000,62352568,62.352568
Pendulum-v1,PPO,moderate,wrapped,46,11,1000,91202936,91.20293600000001
Pendulum-v1,PPO,moderate,native_logic,47,11,1000,21080,0.021079999999999998
Pendulum-v1,PPO,moderate,critic,48,12,1000,66379249,66.379249
Pendulum-v1,PPO,moderate,base,49,12,1000,78011466,78.011466
Pendulum-v1,PPO,moderate,wrapped,50,12,1000,74967159,74.967159
Pendulum-v1,PPO,moderate,native_logic,51,12,1000,14187,0.014187
Pendulum-v1,PPO,moderate,base,52,13,1000,69431280,69.43128
Pendulum-v1,PPO,moderate,native_logic,53,13,1000,14097,0.014097
Pendulum-v1,PPO,moderate,critic,54,13,1000,60669307,60.669307
Pendulum-v1,PPO,moderate,wrapped,55,13,1000,81526199,81.52619899999999
Pendulum-v1,PPO,moderate,native_logic,56,14,1000,14227,0.014227
Pendulum-v1,PPO,moderate,wrapped,57,14,1000,80750019,80.750019
Pendulum-v1,PPO,moderate,critic,58,14,1000,61066385,61.066385000000004
Pendulum-v1,PPO,moderate,base,59,14,1000,71885431,71.885431
Pendulum-v1,PPO,moderate,native_logic,60,15,1000,14858,0.014858
Pendulum-v1,PPO,moderate,base,61,15,1000,77749926,77.749926
Pendulum-v1,PPO,moderate,critic,62,15,1000,69993572,69.993572
Pendulum-v1,PPO,moderate,wrapped,63,15,1000,88636951,88.636951
Pendulum-v1,PPO,moderate,base,64,16,1000,80734089,80.73408900000001
Pendulum-v1,PPO,moderate,wrapped,65,16,1000,94636355,94.636355
Pendulum-v1,PPO,moderate,critic,66,16,1000,72126150,72.12615
Pendulum-v1,PPO,moderate,native_logic,67,16,1000,21571,0.021571
Pendulum-v1,PPO,moderate,native_logic,68,17,1000,19297,0.019297
Pendulum-v1,PPO,moderate,base,69,17,1000,78342127,78.34212699999999
Pendulum-v1,PPO,moderate,critic,70,17,1000,70934137,70.934137
Pendulum-v1,PPO,moderate,wrapped,71,17,1000,91435670,91.43567
Pendulum-v1,PPO,moderate,native_logic,72,18,1000,14267,0.014267
Pendulum-v1,PPO,moderate,wrapped,73,18,1000,82431596,82.431596
Pendulum-v1,PPO,moderate,base,74,18,1000,73961260,73.96126
Pendulum-v1,PPO,moderate,critic,75,18,1000,65033051,65.033051
Pendulum-v1,PPO,moderate,native_logic,76,19,1000,15269,0.015269
Pendulum-v1,PPO,moderate,base,77,19,1000,76444196,76.44419599999999
Pendulum-v1,PPO,moderate,critic,78,19,1000,58537301,58.537301
Pendulum-v1,PPO,moderate,wrapped,79,19,1000,74955977,74.955977
