environment,algorithm,mode,calls_per_block,blocks_per_method,base_latency_us,critic_latency_us,native_logic_latency_us,wrapped_latency_us,added_latency_us,added_latency_ci95_low_us,added_latency_ci95_high_us,fallback_calls
Pendulum-v1,PPO,conservative,1000,30,70.25135606666667,61.40536923333335,0.012974366666666664,68.91679496666667,-1.3345611000000015,-2.221827566666667,-0.444778033333337,898
Pendulum-v1,PPO,guarded,1000,30,72.97065210000002,64.49162569999997,0.014422466666666665,76.32123700000002,3.350584899999998,1.986933699999995,4.824063666666662,846
Pendulum-v1,PPO,moderate,1000,30,74.59953753333333,65.82055723333335,0.015553233333333335,84.55169846666669,9.952160933333335,8.066366033333333,11.808154600000003,760
Pendulum-v1,PPO,balanced,1000,30,71.84040056666667,64.57273783333333,0.013856133333333331,85.37118823333334,13.53078766666667,12.608103966666667,14.450822600000008,713
Pendulum-v1,PPO,high,1000,30,76.59316803333336,67.25221009999999,0.0146777,95.20047883333334,18.6073108,16.956950100000007,20.213797633333332,652
Pendulum-v1,PPO,almost_open,1000,30,75.48340550000002,66.03918,0.014004800000000003,98.73107846666667,23.24767296666666,21.536823666666667,24.937930466666664,588
CartpoleSwingupEnvLong-v0,PPO,conservative,1000,30,71.6005648,62.25068010000002,0.026909233333333334,69.64761316666666,-1.9529516333333343,-2.9605779666666674,-0.9248764333333327,917
CartpoleSwingupEnvLong-v0,PPO,guarded,1000,30,73.89988133333335,64.1526089,0.026930733333333335,75.4617945,1.561913166666667,0.425605366666665,2.679992300000002,858
CartpoleSwingupEnvLong-v0,PPO,moderate,1000,30,76.10038446666665,65.562456,0.027479800000000002,81.82766413333333,5.72727966666667,3.895669800000003,7.296741866666668,801
CartpoleSwingupEnvLong-v0,PPO,balanced,1000,30,73.05679423333332,63.6761614,0.02479526666666667,79.88908703333335,6.832292800000001,5.454963366666665,8.131198999999997,790
CartpoleSwingupEnvLong-v0,PPO,high,1000,30,73.72620936666665,64.77961599999999,0.024140033333333342,81.65822553333334,7.932016166666669,6.706433033333336,9.1807234,782
CartpoleSwingupEnvLong-v0,PPO,almost_open,1000,30,72.92617130000001,63.90793773333335,0.023563933333333335,81.15956413333333,8.233392833333333,7.022256166666668,9.438525966666667,772
UnderwaterDrone-v0,TD3,conservative,1000,30,82.0365442,171.46734250000003,0.014234933333333331,260.6124429999999,178.57589880000003,175.78096456666668,181.38109126666666,700
UnderwaterDrone-v0,TD3,guarded,1000,30,83.98586126666666,173.74293966666667,0.015259400000000001,265.3543850666667,181.36852379999996,177.8244711333333,184.79540633333335,693
UnderwaterDrone-v0,TD3,moderate,1000,30,85.12939206666665,174.40837886666668,0.015321466666666665,265.39318089999995,180.2637888333333,177.5945330333333,183.02589173333328,670
UnderwaterDrone-v0,TD3,balanced,1000,30,83.39271850000002,173.70357490000006,0.01484306666666667,264.4969093,181.10419080000003,178.15969223333332,184.27749306666666,663
UnderwaterDrone-v0,TD3,high,1000,30,83.02593310000002,175.3861950666666,0.014945566666666665,263.30972406666666,180.2837909666666,177.66654783333334,182.80261700000008,660
UnderwaterDrone-v0,TD3,almost_open,1000,30,82.338622,172.97177156666666,0.014053533333333337,262.78224753333336,180.44362553333332,177.55551293333335,183.29494263333336,656
RobotNavigationConstSpeedCatch-v0,TD3,conservative,1000,30,78.00627543333333,177.28196636666672,0.052860533333333334,262.1934975333333,184.1872221,181.3294579,186.9684454333334,954
RobotNavigationConstSpeedCatch-v0,TD3,guarded,1000,30,72.94408823333335,173.58796713333334,0.05034203333333334,251.4881798,178.54409156666665,176.25915059999997,180.91339230000003,890
RobotNavigationConstSpeedCatch-v0,TD3,moderate,1000,30,74.32767993333333,169.26789289999996,0.04361846666666667,254.56469259999997,180.23701266666663,176.75299016666668,183.8110411333333,658
RobotNavigationConstSpeedCatch-v0,TD3,balanced,1000,30,77.21191583333332,176.60980073333337,0.04009440000000001,262.84494893333334,185.63303310000003,183.0596731,188.3043213666666,500
RobotNavigationConstSpeedCatch-v0,TD3,high,1000,30,77.95636056666669,175.85568423333333,0.033369666666666666,260.1300933666667,182.17373279999998,178.86473066666667,185.14718219999997,304
RobotNavigationConstSpeedCatch-v0,TD3,almost_open,1000,30,75.3866291,175.18015196666664,0.015685,260.59348553333336,185.20685643333334,182.32867240000002,187.98141636666665,51
