environment,sigma,noise_scale,trials,mean_episode_return,return_ci95_half_width,goal_reaching_rate,fallback_action_percentage
pendulum,0.0,0.0,100,-214.9141134878341,22.604763719046062,100.0,88.34
pendulum,2.0,0.031004,100,-205.4398188790027,21.066192774468156,100.0,88.245
pendulum,20.0,0.31004,100,-210.4555088814441,21.04238277410793,100.0,88.515
pendulum,200.0,3.1004,100,-220.62623863303102,23.237034007824242,100.0,90.79
cartpole,0.0,0.0,100,-665.1761064910888,113.03934350535079,100.0,89.53
cartpole,2.0,0.101752,100,-621.3817405700684,89.09469639200017,100.0,90.964
cartpole,20.0,1.01752,100,-642.0905239105225,90.3843357003677,100.0,94.3
cartpole,200.0,10.1752,100,-669.1431966400146,117.62042807600847,100.0,98.29700000000001
auv,0.0,0.0,100,-559.8285760498047,32.95199335504929,100.0,87.91666666666666
auv,2.0,0.08,100,-548.8097190856934,31.094163784232858,100.0,87.92133333333334
auv,20.0,0.8,100,-552.797018737793,29.761198518643017,100.0,90.76
auv,200.0,8.0,100,-658.3367059326172,18.259301572475586,100.0,97.478
robot,0.0,0.0,100,23.39173334121704,6.0300269252701995,100.0,69.83047833894733
robot,2.0,0.1,100,20.56185781478882,6.9025851736593085,100.0,70.46447662691749
robot,20.0,1.0,100,17.038522300720214,7.432035029407108,100.0,82.29464967053813
robot,200.0,10.0,100,-22.300580768585206,8.865798185144318,100.0,95.37656431739383
