environment,eta,nu,trials,mean_episode_return,return_ci95_half_width,goal_reaching_rate,fallback_action_percentage
pendulum,0.0625,0.000968875,100,-230.84140014648438,22.45791015625,100.0,88.035
pendulum,0.125,0.00193775,100,-230.84268188476562,22.45794219970703,100.0,88.045
pendulum,0.25,0.0038755,100,-230.8394317626953,22.457769775390624,100.0,88.075
pendulum,0.5,0.007751,100,-230.86270141601562,22.468907165527344,100.0,88.11
pendulum,1.0,0.015502,100,-229.62400817871094,22.02271728515625,100.0,88.17
pendulum,2.0,0.031004,100,-229.63121032714844,22.024505615234375,100.0,88.3
pendulum,4.0,0.062008,100,-224.8117218017578,20.780262756347657,100.0,88.44
pendulum,8.0,0.124016,100,-223.55523681640625,20.39655303955078,100.0,88.64
pendulum,16.0,0.248032,100,-231.4844512939453,19.8006591796875,100.0,88.945
pendulum,32.0,0.496064,100,-231.51788330078125,19.884129333496094,100.0,89.31
pendulum,64.0,0.992128,100,-228.22068786621094,19.031185913085938,100.0,89.85
pendulum,128.0,1.984256,100,-218.76519775390625,17.549191284179688,100.0,90.635
pendulum,256.0,3.968512,100,-240.0634002685547,22.558880615234376,100.0,92.205
pendulum,512.0,7.937024,100,-290.90875244140625,34.209902954101565,100.0,94.59
pendulum,1024.0,15.874048,100,-324.54534912109375,43.286251831054685,100.0,97.03
pendulum,inf,infinity,100,-377.005615234375,56.306671142578125,100.0,100.0
cartpole,0.0625,0.00317975,100,-652.131103515625,109.73695068359375,100.0,85.866
cartpole,0.125,0.0063595,100,-651.5928955078125,109.76182861328125,100.0,86.103
cartpole,0.25,0.012719,100,-650.458251953125,109.4212158203125,100.0,86.80099999999999
cartpole,0.5,0.025438,100,-659.06396484375,111.28297119140625,100.0,88.092
cartpole,1.0,0.050876,100,-665.1758422851562,113.0391845703125,100.0,89.53
cartpole,2.0,0.101752,100,-680.3125,117.83988037109376,100.0,90.819
cartpole,4.0,0.203504,100,-657.5677490234375,104.65047607421874,100.0,92.094
cartpole,8.0,0.407008,100,-631.0787963867188,97.65942993164063,100.0,93.51899999999999
cartpole,16.0,0.814016,100,-638.600830078125,92.84134521484376,100.0,94.699
cartpole,32.0,1.628032,100,-747.135986328125,139.25546875,100.0,96.023
cartpole,64.0,3.256064,100,-734.2411499023438,119.57872314453125,100.0,97.41499999999999
cartpole,128.0,6.512128,100,-650.626953125,120.4209716796875,100.0,98.573
cartpole,256.0,13.024256,100,-696.251953125,125.44713134765625,100.0,99.191
cartpole,512.0,26.048512,100,-719.8308715820312,120.4136474609375,100.0,99.593
cartpole,1024.0,52.097024,100,-733.7216186523438,122.5180419921875,100.0,99.806
cartpole,inf,infinity,100,-762.578857421875,128.49339599609374,100.0,100.0
auv,0.0625,0.0025,100,-574.3886108398438,30.986618041992188,100.0,87.53999999999999
auv,0.125,0.005,100,-574.9138793945312,31.0740234375,100.0,87.57066666666667
auv,0.25,0.01,100,-574.9016723632812,31.08818664550781,100.0,87.58466666666666
auv,0.5,0.02,100,-574.569091796875,31.1117431640625,100.0,87.638
auv,1.0,0.04,100,-576.5337524414062,30.673529052734374,100.0,87.91733333333333
auv,2.0,0.08,100,-577.2257080078125,30.090487670898437,100.0,88.16266666666667
auv,4.0,0.16,100,-576.7686157226562,29.136325073242187,100.0,88.59
auv,8.0,0.32,100,-583.9570922851562,29.450518798828124,100.0,89.42933333333333
auv,16.0,0.64,100,-583.2119140625,28.15533447265625,100.0,90.738
auv,32.0,1.28,100,-621.7835693359375,23.431794738769533,100.0,93.20066666666666
auv,64.0,2.56,100,-682.5081787109375,17.233981323242187,100.0,95.68866666666666
auv,128.0,5.12,100,-667.6619262695312,15.484120178222657,100.0,97.55
auv,256.0,10.24,100,-664.6512451171875,15.258110046386719,100.0,98.67666666666666
auv,512.0,20.48,100,-665.4158325195312,15.259068298339844,100.0,99.32133333333333
auv,1024.0,40.96,100,-665.576904296875,15.212690734863282,100.0,99.66266666666667
auv,inf,infinity,100,-666.7789306640625,15.292422485351562,100.0,100.0
robot,0.0625,0.003125,100,7.01485538482666,8.091056823730469,100.0,63.02699423718532
robot,0.125,0.00625,100,7.021175384521484,8.087581634521484,100.0,63.070854195114556
robot,0.25,0.0125,100,7.019370079040527,8.088339233398438,100.0,63.13633259995448
robot,0.5,0.025,100,7.669694900512695,8.07694091796875,100.0,63.31333991344621
robot,1.0,0.05,100,6.920717716217041,8.091663360595703,100.0,63.775820170109355
robot,2.0,0.1,100,6.284010410308838,8.129510498046875,100.0,64.65194467792466
robot,4.0,0.2,100,5.225784778594971,8.353054809570313,100.0,66.38422431058389
robot,8.0,0.4,100,4.519139766693115,8.597142028808594,100.0,70.5799812909261
robot,16.0,0.8,100,-1.3209724426269531,9.02537841796875,100.0,78.94861660079052
robot,32.0,1.6,100,-13.696554183959961,9.318415069580078,100.0,88.47274240532667
robot,64.0,3.2,100,-26.548564910888672,8.640267181396485,100.0,94.4553396327331
robot,128.0,6.4,100,-34.76152420043945,7.751628875732422,100.0,97.56746833119148
robot,256.0,12.8,100,-38.195167541503906,7.4276275634765625,100.0,98.99879484564754
robot,512.0,25.6,100,-41.778038024902344,6.919715881347656,100.0,99.64693858589612
robot,1024.0,51.2,100,-41.121952056884766,7.106492614746093,100.0,99.9256436471791
robot,inf,infinity,100,-41.144187927246094,7.108805084228516,100.0,100.0
