environment,mode,acceptance_budget,p_relax,lambda,trials,mean_episode_return,return_ci95_half_width,goal_reaching_rate,fallback_action_percentage
pendulum,balanced,0.5,0.55,0.9990267049347494,100,-492.1435120930616,39.581739886547105,64.0,59.824999999999996
pendulum,balanced,0.5,0.6,0.9981095058779488,100,-516.3553625371401,37.42610362965814,61.0,57.445
pendulum,balanced,0.5,0.7,0.9964089841540442,100,-508.5321247365419,38.17743550076202,74.0,57.285
pendulum,balanced,0.5,0.85,0.994105792124401,100,-512.1281349148694,30.191743581514515,82.0,55.47
pendulum,balanced,0.5,1.0,0.992010108657098,100,-481.7607389035169,28.95897709957049,94.0,56.065
cartpole,balanced,0.5,0.55,0.9998060708328822,100,-568.61169921875,102.21323959372397,100.0,77.22
cartpole,balanced,0.5,0.6,0.9996232309942741,100,-531.0791414260864,79.10615172224648,100.0,76.81899999999999
cartpole,balanced,0.5,0.7,0.9992840285047322,100,-537.7950456237793,106.71561264148349,100.0,75.67699999999999
cartpole,balanced,0.5,0.85,0.9988242203474158,100,-415.64480051040647,43.814762728103105,100.0,75.84299999999999
cartpole,balanced,0.5,1.0,0.9984055061577948,100,-503.3268754386902,72.93015120691254,100.0,72.709
auv,balanced,0.5,0.55,0.9998707542713241,100,-1729.4059033203125,176.4887647037918,95.0,57.75333333333332
auv,balanced,0.5,0.6,0.9997488942629786,100,-1747.2886169433593,187.65591465983817,95.0,57.68599999999999
auv,balanced,0.5,0.7,0.9995228092521664,100,-1659.2898498535155,134.62079063319973,98.0,57.29933333333334
auv,balanced,0.5,0.85,0.9992163165984564,100,-1713.7045147705078,162.33413921053074,95.0,56.204
auv,balanced,0.5,1.0,0.99893719739093,100,-1643.6718487548828,122.6627685070883,97.0,55.25933333333333
robot,balanced,0.5,0.55,0.9998060708328822,100,-1.518588237762451,16.567756198603895,12.0,47.20927687208246
robot,balanced,0.5,0.6,0.9996232309942741,100,1.159947032928467,16.589118524103366,9.0,47.37813349790459
robot,balanced,0.5,0.7,0.9992840285047322,100,-5.122712268829345,21.68698175697881,16.0,47.13916372055829
robot,balanced,0.5,0.85,0.9988242203474158,100,0.4179772186279297,17.039735972930043,44.0,46.44273088208964
robot,balanced,0.5,1.0,0.9984055061577948,100,-8.185131759643555,20.324702593514296,81.0,44.179081392012286
pendulum,high,0.7,0.75,0.9992986057401652,100,-620.269686026806,30.357814447684785,21.0,33.60999999999999
pendulum,high,0.7,0.8,0.9986273348889085,100,-625.5917117276135,25.838468932583424,27.0,33.365
pendulum,high,0.7,0.85,0.9979824982574428,100,-628.6510269131604,27.397673107974363,25.0,32.98000000000001
pendulum,high,0.7,0.9,0.9973610275881128,100,-625.9923297085707,28.04570338625573,31.0,33.230000000000004
pendulum,high,0.7,1.0,0.9961782534180657,100,-592.4420988430921,28.242515564153518,44.0,34.5
cartpole,high,0.7,0.75,0.9998602569652206,100,-472.1396717453003,80.2698407018975,100.0,74.32399999999998
cartpole,high,0.7,0.8,0.999726468280798,100,-527.5481648635864,174.11560586419426,98.0,73.821
cartpole,high,0.7,0.85,0.9995979060793765,100,-474.577790184021,68.90477207858439,100.0,72.212
cartpole,high,0.7,0.9,0.99947396484351,100,-505.35513004302976,87.63296056679971,100.0,71.241
cartpole,high,0.7,1.0,0.9992379848835924,100,-594.4281855201721,113.03344126745215,100.0,67.38
auv,high,0.7,0.75,0.9999068676214407,100,-2070.7003900146483,192.35565556610842,66.0,41.54933333333334
auv,high,0.7,0.8,0.9998177009298033,100,-2043.1978668212892,192.90451716420495,68.0,40.48
auv,high,0.7,0.85,0.9997320152294797,100,-2003.744556274414,183.03362879714405,71.0,39.91266666666667
auv,high,0.7,0.9,0.9996494072903914,100,-2135.1438671875,191.422316590531,67.0,38.684666666666665
auv,high,0.7,1.0,0.9994921191924391,100,-2166.468175048828,184.09565149082312,73.0,38.28533333333334
robot,high,0.7,0.75,0.9998602569652206,100,8.095340633392334,12.760951804158404,5.0,28.567174672850015
robot,high,0.7,0.8,0.999726468280798,100,1.146755771636963,14.991179444994199,5.0,28.53694768932189
robot,high,0.7,0.85,0.9995979060793765,100,3.371402702331543,14.61113565969747,5.0,28.5473304559969
robot,high,0.7,0.9,0.99947396484351,100,3.005692958831787,14.534365590858977,4.0,28.73062496719695
robot,high,0.7,1.0,0.9992379848835924,100,-0.6288966751098632,15.87305152199031,5.0,28.7732895978
