environment,checkpoint_stage,mode,seed,return,ggr_success,episode_length
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260801,-482.47248577792664,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260802,-328.48306223648626,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260803,-817.5819292851165,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260804,-575.3320735055295,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260805,-170.77862528207945,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260806,-529.4281739383299,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260807,-547.6619043008009,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260808,-578.5092146105575,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260809,-566.2179932815504,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260810,-626.7294145035492,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260811,-210.04785513605884,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260812,-336.4168531667171,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260813,-572.9076551412242,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260814,-108.7659287140101,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260815,-657.0861954216736,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260816,-513.2337457173714,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260817,-482.11644917179143,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260818,-353.13220150546016,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260819,-926.4093142076669,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260820,-333.37814268404134,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260821,-579.3383011517176,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260822,-170.4067029622206,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260823,-568.6556596915757,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260824,-1406.068035696433,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260825,-976.252620126698,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260826,-383.76933005515065,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260827,-798.2961473820774,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260828,-1044.8005087641013,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260829,-942.6330446243943,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260830,-385.3857293761106,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260831,-514.9341254917509,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260832,-433.9417538055677,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260833,-351.8146291185655,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260834,-412.97891889227236,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260835,-183.3378842972664,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260836,-633.5478367857039,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260837,-782.9353809643753,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260838,-357.97804284557174,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260839,-744.7110351613009,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260840,-1484.508598492432,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260841,-34.502330291974644,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260842,-1877.6084264818376,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260843,-647.3632274327791,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260844,-1175.2402252220586,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260845,-483.65991410129215,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260846,-296.8665471591538,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260847,-651.8337097214335,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260848,-622.5221897478227,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260849,-732.3634527383069,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260850,-745.7608917723798,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260851,-540.0760493841544,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260852,-709.2322639694431,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260853,-462.7037529661352,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260854,-482.8713844224161,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260855,-485.3159074439812,True,1000
