environment,checkpoint_stage,mode,seed,return,ggr_success,episode_length,base_policy_calls,fallback_calls,critic_calls,selection_sha256
CartpoleSwingupEnvLong-v0,High,almost_open,20260801,-329.782958984375,True,1000,361,639,1000,cc3bd51216141e5215e6fefdbe957b8eb0e9fc1e3362bc44cb63cf92a96e4542
CartpoleSwingupEnvLong-v0,High,almost_open,20260802,-383.1853942871094,True,1000,301,699,1000,cfcf9b36429c50fb9f16fa8ea1c2b4280847214e116f4c9983b5c67663961e4f
CartpoleSwingupEnvLong-v0,High,almost_open,20260803,-610.7764892578125,True,1000,425,575,1000,f73790a17b7923c56814e160e47c18ff32657341fa93eebe639c4a83bdd0dd1f
CartpoleSwingupEnvLong-v0,High,almost_open,20260804,-548.5567626953125,True,1000,276,724,1000,9164f660709af87301ba7b423206b82816fa122b14fd6f3ddf4231c54084d5fb
CartpoleSwingupEnvLong-v0,High,almost_open,20260805,-289.84100341796875,True,1000,245,755,1000,0c928e45e0002614861882a4a341afd578debff5f84bd057453baaf9617ff4cf
CartpoleSwingupEnvLong-v0,High,almost_open,20260806,-254.8160400390625,True,1000,304,696,1000,4820c9f1bdf35ec85d588db647fdde360c276ffddf323fc196b8f0b1d60ee474
CartpoleSwingupEnvLong-v0,High,almost_open,20260807,-388.0304260253906,True,1000,300,700,1000,202d65d0823de89f90c2f3e5cb35c9b6d1ec938734de99c729123d1917b457d1
CartpoleSwingupEnvLong-v0,High,almost_open,20260808,-544.44482421875,True,1000,283,717,1000,62e41977286495570b2ec01ef25a0ff5a03cb1cb1a6b8c7c0adca20e1d601cd7
CartpoleSwingupEnvLong-v0,High,almost_open,20260809,-391.61883544921875,True,1000,317,683,1000,71f8755e919fbfbb2e1ff1c4d8e5e68db24812d9fd4c19c9d9f19434abc15c76
CartpoleSwingupEnvLong-v0,High,almost_open,20260810,-553.3410034179688,True,1000,334,666,1000,c7504bfb8c21486bfc171270ec45d7e82fe2d9949b8109fa61cc102d8284f9ce
CartpoleSwingupEnvLong-v0,High,almost_open,20260811,-188.53076171875,True,1000,175,825,1000,2a435f6342348e45f7f97f8255b5c1ab4f87e26edd819b05a44abe572e667dcf
CartpoleSwingupEnvLong-v0,High,almost_open,20260812,-408.65350341796875,True,1000,327,673,1000,06eb24775023d91e8f858d8d6a63bcdcaded60ea7a2c7e9c1eb2676a24a0e719
