artifact_uri,environment,git_commit,hostname,metric.base_action_fraction,metric.fallback_action_fraction,metric.goal_reaching_rate,metric.mean_reward,metric.n_trials,metric.reward,metric.reward_ci95_half_width,metric.std_reward,run_id,run_name,status
mlflow-artifacts:/3/56e484fc996d4b64a391f5f47bb66799/artifacts,pendulum,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,0.951,0.049000000000000044,0.0,-524.4652099609375,30.0,-402.3968200683594,73.22771562007321,204.6350555419922,56e484fc996d4b64a391f5f47bb66799,calf_wrapper_brave_late,FINISHED
mlflow-artifacts:/3/1a3a17ab0e4042dfa097d4ee2ab45d40/artifacts,pendulum,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,0.5633333333333334,0.43666666666666665,0.0,-681.5042724609375,30.0,-633.129638671875,21.350867878247307,59.66505813598633,1a3a17ab0e4042dfa097d4ee2ab45d40,calf_wrapper_balanced_late,FINISHED
mlflow-artifacts:/3/af4204d9b2f74b129d217296cef5c92a/artifacts,pendulum,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,0.14216666666666666,0.8578333333333333,93.33333333333333,-455.4114074707031,30.0,-248.06072998046875,65.93557404247781,184.25714111328125,af4204d9b2f74b129d217296cef5c92a,calf_wrapper_conservative_late,FINISHED
mlflow-artifacts:/3/2d958a33e8c84e399e7c4f321162bfcc/artifacts,pendulum,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,,,0.0,-305.6617736816406,30.0,-149.4457550048828,143.57955350992552,401.23345947265625,2d958a33e8c84e399e7c4f321162bfcc,base_late,FINISHED
mlflow-artifacts:/3/89d3c57e3f784b0989e8a731b43985a7/artifacts,pendulum,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,0.9496666666666667,0.05033333333333334,0.0,-495.2796630859375,30.0,-528.6755981445312,60.208150291921896,168.25184631347656,89d3c57e3f784b0989e8a731b43985a7,calf_wrapper_brave_mid,FINISHED
mlflow-artifacts:/3/1d6173087cd746dfbfcb7c2ae4dd636e/artifacts,pendulum,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,0.5578333333333333,0.4421666666666667,60.0,-530.2777099609375,30.0,-377.2170715332031,52.456770673582994,146.59059143066406,1d6173087cd746dfbfcb7c2ae4dd636e,calf_wrapper_balanced_mid,FINISHED
mlflow-artifacts:/3/f70a6ee31174412f8cba5c955e24f63f/artifacts,pendulum,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,0.14483333333333334,0.8551666666666666,100.0,-390.7264099121094,30.0,-247.41461181640625,57.69202193477264,161.22052001953125,f70a6ee31174412f8cba5c955e24f63f,calf_wrapper_conservative_mid,FINISHED
mlflow-artifacts:/3/109b04d5746d4e129d6491c62c11bd2d/artifacts,pendulum,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,,,0.0,-431.9053955078125,30.0,-133.91314697265625,76.96894306270343,215.0899200439453,109b04d5746d4e129d6491c62c11bd2d,base_mid,FINISHED
mlflow-artifacts:/3/0a9a2503881b443f86b37dfd0cbb5867/artifacts,pendulum,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,0.9485,0.05149999999999999,0.0,-897.44921875,30.0,-762.2527465820312,90.50617150827873,252.9197540283203,0a9a2503881b443f86b37dfd0cbb5867,calf_wrapper_brave_early,FINISHED
mlflow-artifacts:/3/dd6990345cff401c9cac8adbc22f9bf9/artifacts,pendulum,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,0.5531666666666667,0.4468333333333333,10.0,-704.3568725585938,30.0,-495.31103515625,52.49404549362806,146.69476318359375,dd6990345cff401c9cac8adbc22f9bf9,calf_wrapper_balanced_early,FINISHED
mlflow-artifacts:/3/36b7b1578cc94969800affe86c6d0a7f/artifacts,pendulum,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,0.1485,0.8515,100.0,-443.04412841796875,30.0,-372.0415954589844,57.11839644178325,159.61752319335938,36b7b1578cc94969800affe86c6d0a7f,calf_wrapper_conservative_early,FINISHED
mlflow-artifacts:/3/9955b03643cc492ea3359a5c19e663a4/artifacts,pendulum,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,,,0.0,-902.5858154296875,30.0,-771.7501220703125,86.54842694951233,241.8598175048828,9955b03643cc492ea3359a5c19e663a4,base_early,FINISHED
mlflow-artifacts:/3/7db36a15c6ff4cccb0660dbe51548ee7/artifacts,pendulum,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,,,100.0,-329.90240478515625,30.0,-239.8137969970703,102.34348429297397,285.9991455078125,7db36a15c6ff4cccb0660dbe51548ee7,fallback,FINISHED
mlflow-artifacts:/5/efe7bf280010483c961c600eab77c3a9/artifacts,cartpole,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,0.9098666666666667,0.09013333333333329,76.66666666666667,-683.9425048828125,30.0,-332.1361083984375,177.96546913877557,497.32501220703125,efe7bf280010483c961c600eab77c3a9,calf_wrapper_brave_late,FINISHED
mlflow-artifacts:/5/3d8e0d5b082749eead0cbc7d8de3ee8e/artifacts,cartpole,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,0.5137333333333334,0.4862666666666666,100.0,-1032.1826171875,30.0,-1414.798095703125,325.5123449975508,909.6451416015625,3d8e0d5b082749eead0cbc7d8de3ee8e,calf_wrapper_balanced_late,FINISHED
mlflow-artifacts:/5/b73f36ee69ab46309feb43d8304e488a/artifacts,cartpole,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,0.13616666666666666,0.8638333333333333,100.0,-958.3067626953125,30.0,-844.5107421875,275.2766744305631,769.2614135742188,b73f36ee69ab46309feb43d8304e488a,calf_wrapper_conservative_late,FINISHED
mlflow-artifacts:/5/1628119e353b46298ac5abeca2e82001/artifacts,cartpole,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,,,100.0,-697.6286010742188,30.0,-337.4324951171875,197.68962124658333,552.4442138671875,1628119e353b46298ac5abeca2e82001,base_late,FINISHED
mlflow-artifacts:/5/73f69056144d4419bb0e6ead0b37e8bf/artifacts,cartpole,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,0.9083666666666667,0.09163333333333334,0.0,-2587.516357421875,30.0,-3267.505859375,118.62298614741584,331.4922790527344,73f69056144d4419bb0e6ead0b37e8bf,calf_wrapper_brave_mid,FINISHED
mlflow-artifacts:/5/f6d81bdab2cd483398f4d73e4a246e13/artifacts,cartpole,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,0.49896666666666667,0.5010333333333333,66.66666666666666,-2082.80029296875,30.0,-3530.13916015625,484.4343927331263,1353.7532958984375,f6d81bdab2cd483398f4d73e4a246e13,calf_wrapper_balanced_mid,FINISHED
mlflow-artifacts:/5/295b6b2b8ec44006a6c17c800d5e5c40/artifacts,cartpole,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,0.10733333333333334,0.8926666666666667,100.0,-1091.8323974609375,30.0,-1219.8353271484375,300.7184942037401,840.358642578125,295b6b2b8ec44006a6c17c800d5e5c40,calf_wrapper_conservative_mid,FINISHED
mlflow-artifacts:/5/7b2dde7bc09c4f4896a7c032cb15a657/artifacts,cartpole,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,,,0.0,-1943.359130859375,30.0,-1896.1729736328125,68.5153648949686,191.4663848876953,7b2dde7bc09c4f4896a7c032cb15a657,base_mid,FINISHED
mlflow-artifacts:/5/5ec01da56eac4028bd7782e4f5b28c0d/artifacts,cartpole,270d24ed3abb5847a755a432ef33f00ebdba62db,gor,0.9080666666666667,0.09193333333333331,0.0,-2750.105224609375,30.0,-3883.9267578125,184.9859391243565,516.9437255859375,5ec01da56eac4028bd7782e4f5b28c0d,calf_wrapper_brave_early,FINISHED
