artifact_uri,environment,git_commit,hostname,metric.base_action_fraction,metric.fallback_action_fraction,metric.goal_reaching_rate,metric.mean_reward,metric.n_trials,metric.reward,metric.reward_ci95_half_width,metric.std_reward,run_id,run_name,status
mlflow-artifacts:/6/6f0eb343328a4b68be8f2e22ab03405f/artifacts,pendulum,48cb203552e99909134c6af64a420140369df1d6,gor,0.9556666666666667,0.044333333333333336,100.0,-171.30487060546875,30.0,-123.85678100585938,41.73662714789745,116.63311767578125,6f0eb343328a4b68be8f2e22ab03405f,calf_wrapper_brave_late,FINISHED
mlflow-artifacts:/6/479e15d7c66b4cbd93a80c6faa97665d/artifacts,pendulum,48cb203552e99909134c6af64a420140369df1d6,gor,0.5785,0.4215,100.0,-171.56948852539062,30.0,-121.57776641845703,29.41743284433269,82.20709991455078,479e15d7c66b4cbd93a80c6faa97665d,calf_wrapper_balanced_late,FINISHED
mlflow-artifacts:/6/7156a2fd5e094a2b8438fe14289b6613/artifacts,pendulum,48cb203552e99909134c6af64a420140369df1d6,gor,0.161,0.839,100.0,-224.0302276611328,30.0,-121.57746124267578,35.044339944511485,97.93150329589844,7156a2fd5e094a2b8438fe14289b6613,calf_wrapper_conservative_late,FINISHED
mlflow-artifacts:/6/1b16366048304eecbbc98b57b675eabe/artifacts,pendulum,48cb203552e99909134c6af64a420140369df1d6,gor,,,96.66666666666667,-201.97828674316406,30.0,-123.85677337646484,89.80908779966028,250.97174072265625,1b16366048304eecbbc98b57b675eabe,base_late,FINISHED
mlflow-artifacts:/6/888be4fe6dba436eb830725bf4eea81b/artifacts,pendulum,48cb203552e99909134c6af64a420140369df1d6,gor,0.9496666666666667,0.05033333333333334,6.666666666666667,-335.9222717285156,30.0,-267.3439636230469,80.43943496261176,224.78822326660156,888be4fe6dba436eb830725bf4eea81b,calf_wrapper_brave_mid,FINISHED
mlflow-artifacts:/6/1c662420f60647c7ac614c3801e85b80/artifacts,pendulum,48cb203552e99909134c6af64a420140369df1d6,gor,0.5468333333333333,0.4531666666666667,90.0,-269.3578796386719,30.0,-125.89159393310547,68.11708706440642,190.3533935546875,1c662420f60647c7ac614c3801e85b80,calf_wrapper_balanced_mid,FINISHED
mlflow-artifacts:/6/1700de33fae744188ef00a2ce4fdf934/artifacts,pendulum,48cb203552e99909134c6af64a420140369df1d6,gor,0.09816666666666667,0.9018333333333334,100.0,-179.31903076171875,30.0,-123.30119323730469,33.393711736265,93.31881713867188,1700de33fae744188ef00a2ce4fdf934,calf_wrapper_conservative_mid,FINISHED
mlflow-artifacts:/6/278ed369f23a461aad8586ab74121b0e/artifacts,pendulum,48cb203552e99909134c6af64a420140369df1d6,gor,,,0.0,-364.4486083984375,30.0,-656.1070556640625,90.74071871674164,253.5751953125,278ed369f23a461aad8586ab74121b0e,base_mid,FINISHED
mlflow-artifacts:/6/7552a324ecfe4cb697bec90e3082d638/artifacts,pendulum,48cb203552e99909134c6af64a420140369df1d6,gor,0.9486666666666667,0.05133333333333334,0.0,-787.9341430664062,30.0,-792.0946655273438,21.26389051228118,59.422000885009766,7552a324ecfe4cb697bec90e3082d638,calf_wrapper_brave_early,FINISHED
mlflow-artifacts:/6/842c63410cef48e3ae3f13d1e79a047f/artifacts,pendulum,48cb203552e99909134c6af64a420140369df1d6,gor,0.552,0.44799999999999995,3.3333333333333335,-694.6620483398438,30.0,-770.4873657226562,36.802168083649896,102.84375762939453,842c63410cef48e3ae3f13d1e79a047f,calf_wrapper_balanced_early,FINISHED
